"insect","distribution","climate","area","lat_max","lat_min","lon_max","lon_min","lat_max_bands","lat_min_bands","lon_max_bands","lon_min_bands","area_gained","area_lost","area_retained","lat_max_shift","lat_min_shift","lon_max_shift","lon_min_shift","pinsect_withhost","pinsecthost_1host"
"Papilio cresphontes","total insect","current",926707,46.81,24.56,-69.46,-98.62,44.4,29.85,-77.77,-93.81,NA,NA,NA,NA,NA,NA,NA,76.04,NA
"Papilio cresphontes","total insect","ssp245_2041",782223,48.79,24.75,-67.67,-99.31,46.35,38.52,-81.23,-96.31,450728,595212,331495,218,611,-270,-76,91.49,NA
"Papilio cresphontes","total insect","ssp245_2071",1008759,50.5,25.83,-66.4,-99.9,46.81,38.56,-81.58,-96.19,660116,578064,348643,305,608,-261,-100,91.78,NA
"Papilio cresphontes","total insect","ssp370_2041",868761,48.96,25.81,-67.29,-99.94,46.52,38.48,-81.23,-96.27,543242,601188,325519,234,605,-213,-88,90.68,NA
"Papilio cresphontes","total insect","ssp370_2071",1750436,51.69,17.92,-67.33,-111.44,49.56,37.52,-80.6,-97.52,1262826,439097,487610,533,500,-213,-177,86.93,NA
"Papilio cresphontes","insect + host","current",704625,46.21,25.98,-69.94,-98.62,44.1,35.06,-76.35,-94.23,NA,NA,NA,NA,NA,NA,NA,NA,39.02
"Papilio cresphontes","insect + host","ssp245_2041",715621,48.79,25.04,-67.67,-99.15,46.23,40.21,-81.48,-96.31,428274,417278,287347,218,425,-136,-60,NA,72.11
"Papilio cresphontes","insect + host","ssp245_2071",925810,50.5,25.85,-66.4,-99.21,46.69,40.15,-82.65,-96.19,614849,393663,310962,296,426,-953,-76,NA,76.95
"Papilio cresphontes","insect + host","ssp370_2041",787770,48.96,25.81,-67.58,-99.06,46.48,40.13,-81.52,-96.27,508468,425323,279301,241,444,-237,-68,NA,76.92
"Papilio cresphontes","insect + host","ssp370_2071",1521674,51.69,25.62,-67.33,-111.44,49.23,38.23,-81.06,-96.75,1091211,274162,430462,541,190,-204,-110,NA,82.18
"Papilio eurymedon","total insect","current",503662,51.65,31,-111.46,-125.77,50.35,37.9,-116.6,-123.94,NA,NA,NA,NA,NA,NA,NA,89.17,NA
"Papilio eurymedon","total insect","ssp245_2041",615191,54.33,32.85,-105.21,-127.23,49.23,38.29,-113.77,-123.73,323126,211597,292065,-42,5,166,4,53.9,NA
"Papilio eurymedon","total insect","ssp245_2071",586297,54.94,33.13,-105.27,-127.15,49.56,39.21,-114.35,-123.81,297785,215150,288512,-28,5,120,4,49.24,NA
"Papilio eurymedon","total insect","ssp370_2041",609828,54.77,33.04,-105.31,-126.98,49.52,38.9,-114.02,-123.81,308697,202531,301131,-42,5,108,4,50.66,NA
"Papilio eurymedon","total insect","ssp370_2071",490464,59.02,33.44,-105.52,-133.19,49.81,39.85,-114.77,-124.06,229122,242320,261342,37,5,127,3,52.83,NA
"Papilio eurymedon","insect + host","current",449096,51.27,31.23,-113.5,-125.77,50.15,36.98,-118.06,-123.98,NA,NA,NA,NA,NA,NA,NA,NA,38
"Papilio eurymedon","insect + host","ssp245_2041",331561,52.33,34.06,-107.25,-126.06,49.04,37.9,-116.52,-123.79,110622,228156,220940,-107,32,40,4,NA,58.48
"Papilio eurymedon","insect + host","ssp245_2071",288700,50.96,34.4,-111.4,-125.17,49.15,38.52,-117.48,-123.81,85557,245953,203143,-130,51,0,4,NA,54.82
"Papilio eurymedon","insect + host","ssp370_2041",308945,50.9,34.19,-111.4,-125.58,49.15,38.23,-117.35,-123.81,89717,229868,219228,-100,37,0,4,NA,55.91
"Papilio eurymedon","insect + host","ssp370_2071",259134,54.21,34.06,-107.21,-127.29,49.69,38.52,-118.1,-123.98,75010,264972,184124,-37,46,0,3,NA,42.83
"Papilio glaucus","total insect","current",780130,45.15,27.4,-69.98,-98.29,42.31,33.69,-76.62,-90.65,NA,NA,NA,NA,NA,NA,NA,99.96,NA
"Papilio glaucus","total insect","ssp245_2041",34732,47.06,30.77,-73.06,-95.48,37.65,35.9,-76.44,-84.94,13324,758722,21408,-218,365,-98,486,96.37,NA
"Papilio glaucus","total insect","ssp245_2071",37880,47.48,30.94,-71.83,-94.44,39.85,38.77,-82.23,-86.27,21938,764187,15942,-213,777,-347,243,98.04,NA
"Papilio glaucus","total insect","ssp370_2041",34731,47.44,29.94,-73.1,-95.65,38.98,37.35,-80.94,-87.85,15036,760435,19695,-231,425,-277,253,97.26,NA
"Papilio glaucus","total insect","ssp370_2071",183977,50.56,34.48,-65.6,-95.62,46.02,38.31,-80.08,-89.81,142780,738932,41197,380,597,-437,0,100,NA
"Papilio glaucus","insect + host","current",779830,45.15,27.4,-69.98,-98.29,42.31,33.69,-76.62,-90.65,NA,NA,NA,NA,NA,NA,NA,NA,0.4
"Papilio glaucus","insect + host","ssp245_2041",33470,47.06,30.77,-73.06,-95.48,37.65,35.9,-76.9,-84.94,12753,759114,20717,-218,412,-105,439,NA,14.12
"Papilio glaucus","insect + host","ssp245_2071",37138,47.48,30.94,-71.83,-94.44,39.9,38.81,-82.23,-86.27,21817,764509,15322,-204,785,-347,243,NA,1.86
"Papilio glaucus","insect + host","ssp370_2041",33780,47.44,29.94,-73.1,-95.65,39.02,37.44,-81,-87.85,14603,760653,19177,-206,451,-288,246,NA,10.37
